z y Bx By Bz
1.44304 -1.6962 0 1 -0.934933
1.44304 -1.64557 0 1 -0.928247
1.44304 -1.59494 0 1 -0.920903
1.44304 -1.5443 0 1 -0.912841
1.44304 -1.49367 0 1 -0.903998
1.44304 -1.44304 0 1 -0.894308
1.44304 -1.39241 0 1 -0.883699
1.44304 -1.34177 0 1 -0.872097
1.44304 -1.29114 0 1 -0.859425
1.44304 -1.24051 0 1 -0.8456
1.44304 -1.18987 0 1 -0.83054
1.44304 -1.13924 0 1 -0.814158
1.44304 -1.08861 0 1 -0.796369
1.44304 -1.03797 0 1 -0.777087
1.44304 -0.987342 0 1 -0.756227
1.44304 -0.936709 0 1 -0.733706
1.44304 -0.886076 0 1 -0.70945
1.44304 -0.835443 0 1 -0.683388
1.44304 -0.78481 0 1 -0.655459
1.44304 -0.734177 0 1 -0.625614
1.44304 -0.683544 0 1 -0.593819
1.44304 -0.632911 0 1 -0.560054
1.44304 -0.582278 0 1 -0.52432
1.44304 -0.531646 0 1 -0.486638
1.44304 -0.481013 0 1 -0.447054
1.44304 -0.43038 0 1 -0.405639
1.44304 -0.379747 0 1 -0.362488
1.44304 -0.329114 0 1 -0.317724
1.44304 -0.278481 0 1 -0.271499
1.44304 -0.227848 0 1 -0.223985
1.44304 -0.177215 0 1 -0.175383
1.44304 -0.126582 0 1 -0.125911
1.44304 -0.0759494 0 1 -0.0758037
1.44304 -0.0253165 0 1 -0.025311
1.44304 0.0253165 0 1 0.025311
1.44304 0.0759494 0 1 0.0758037
1.44304 0.126582 0 1 0.125911
1.44304 0.177215 0 1 0.175383
1.44304 0.227848 0 1 0.223985
1.44304 0.278481 0 1 0.271499
1.44304 0.329114 0 1 0.317724
1.44304 0.379747 0 1 0.362488
1.44304 0.43038 0 1 0.405639
1.44304 0.481013 0 1 0.447054
1.44304 0.531646 0 1 0.486638
1.44304 0.582278 0 1 0.52432
1.44304 0.632911 0 1 0.560054
1.44304 0.683544 0 1 0.593819
1.44304 0.734177 0 1 0.625614
1.44304 0.78481 0 1 0.655459
1.44304 0.835443 0 1 0.683388
1.44304 0.886076 0 1 0.70945
1.44304 0.936709 0 1 0.733706
1.44304 0.987342 0 1 0.756227
1.44304 1.03797 0 1 0.777087
1.44304 1.08861 0 1 0.796369
1.44304 1.13924 0 1 0.814158
1.44304 1.18987 0 1 0.83054
1.44304 1.24051 0 1 0.8456
1.44304 1.29114 0 1 0.859425
1.44304 1.34177 0 1 0.872097
1.44304 1.39241 0 1 0.883699
1.44304 1.44304 0 1 0.894308
1.44304 1.49367 0 1 0.903998
1.44304 1.5443 0 1 0.912841
1.44304 1.59494 0 1 0.920903
1.44304 1.64557 0 1 0.928247
1.44304 1.6962 0 1 0.934933
1.44304 1.74684 0 1 0.941014
1.44304 1.79747 0 1 0.946543
1.44304 1.8481 0 1 0.951567
1.44304 1.89873 0 1 0.956129
1.44304 1.94937 0 1 0.96027
1.44304 2 0 1 0.964028
1.49367 -2 0 1 -0.964028
1.49367 -1.94937 0 1 -0.96027
1.49367 -1.89873 0 1 -0.956129
1.49367 -1.8481 0 1 -0.951567
1.49367 -1.79747 0 1 -0.946543
1.49367 -1.74684 0 1 -0.941014
1.49367 -1.6962 0 1 -0.934933
1.49367 -1.64557 0 1 -0.928247
1.49367 -1.59494 0 1 -0.920903
1.49367 -1.5443 0 1 -0.912841
1.49367 -1.49367 0 1 -0.903998
1.49367 -1.44304 0 1 -0.894308
1.49367 -1.39241 0 1 -0.883699
1.49367 -1.34177 0 1 -0.872097
1.49367 -1.29114 0 1 -0.859425
1.49367 -1.24051 0 1 -0.8456
1.49367 -1.18987 0 1 -0.83054
1.49367 -1.13924 0 1 -0.814158
1.49367 -1.08861 0 1 -0.796369
1.49367 -1.03797 0 1 -0.777087
1.49367 -0.987342 0 1 -0.756227
1.49367 -0.936709 0 1 -0.733706
1.49367 -0.886076 0 1 -0.70945
1.49367 -0.835443 0 1 -0.683388
1.49367 -0.78481 0 1 -0.655459
1.49367 -0.734177 0 1 -0.625614
1.49367 -0.683544 0 1 -0.593819
1.49367 -0.632911 0 1 -0.560054
1.49367 -0.582278 0 1 -0.52432
1.49367 -0.531646 0 1 -0.486638
1.49367 -0.481013 0 1 -0.447054
1.49367 -0.43038 0 1 -0.405639
1.49367 -0.379747 0 1 -0.362488
1.49367 -0.329114 0 1 -0.317724
1.49367 -0.278481 0 1 -0.271499
1.49367 -0.227848 0 1 -0.223985
1.49367 -0.177215 0 1 -0.175383
1.49367 -0.126582 0 1 -0.125911
1.49367 -0.0759494 0 1 -0.0758037
1.49367 -0.0253165 0 1 -0.025311
1.49367 0.0253165 0 1 0.025311
1.49367 0.0759494 0 1 0.0758037
1.49367 0.126582 0 1 0.125911
1.49367 0.177215 0 1 0.175383
1.49367 0.227848 0 1 0.223985
1.49367 0.278481 0 1 0.271499
1.49367 0.329114 0 1 0.317724
1.49367 0.379747 0 1 0.362488
1.49367 0.43038 0 1 0.405639
1.49367 0.481013 0 1 0.447054
1.49367 0.531646 0 1 0.486638
1.49367 0.582278 0 1 0.52432
1.49367 0.632911 0 1 0.560054
1.49367 0.683544 0 1 0.593819
1.49367 0.734177 0 1 0.625614
1.49367 0.78481 0 1 0.655459
1.49367 0.835443 0 1 0.683388
1.49367 0.886076 0 1 0.70945
1.49367 0.936709 0 1 0.733706
1.49367 0.987342 0 1 0.756227
1.49367 1.03797 0 1 0.777087
1.49367 1.08861 0 1 0.796369
1.49367 1.13924 0 1 0.814158
1.49367 1.18987 0 1 0.83054
1.49367 1.24051 0 1 0.8456
1.49367 1.29114 0 1 0.859425
1.49367 1.34177 0 1 0.872097
1.49367 1.39241 0 1 0.883699
1.49367 1.44304 0 1 0.894308
1.49367 1.49367 0 1 0.903998
1.49367 1.5443 0 1 0.912841
1.49367 1.59494 0 1 0.920903
1.49367 1.64557 0 1 0.928247
1.49367 1.6962 0 1 0.934933
1.49367 1.74684 0 1 0.941014
1.49367 1.79747 0 1 0.946543
1.49367 1.8481 0 1 0.951567
1.49367 1.89873 0 1 0.956129
1.49367 1.94937 0 1 0.96027
1.49367 2 0 1 0.964028
1.5443 -2 0 1 -0.964028
1.5443 -1.94937 0 1 -0.96027
1.5443 -1.89873 0 1 -0.956129
1.5443 -1.8481 0 1 -0.951567
1.5443 -1.79747 0 1 -0.946543
1.5443 -1.74684 0 1 -0.941014
1.5443 -1.6962 0 1 -0.934933
1.5443 -1.64557 0 1 -0.928247
1.5443 -1.59494 0 1 -0.920903
1.5443 -1.5443 0 1 -0.912841
1.5443 -1.49367 0 1 -0.903998
1.5443 -1.44304 0 1 -0.894308
1.5443 -1.39241 0 1 -0.883699
1.5443 -1.34177 0 1 -0.872097
1.5443 -1.29114 0 1 -0.859425
1.5443 -1.24051 0 1 -0.8456
1.5443 -1.18987 0 1 -0.83054
1.5443 -1.13924 0 1 -0.814158
1.5443 -1.08861 0 1 -0.796369
1.5443 -1.03797 0 1 -0.777087
1.5443 -0.987342 0 1 -0.756227
1.5443 -0.936709 0 1 -0.733706
1.5443 -0.886076 0 1 -0.70945
1.5443 -0.835443 0 1 -0.683388
1.5443 -0.78481 0 1 -0.655459
1.5443 -0.734177 0 1 -0.625614
1.5443 -0.683544 0 1 -0.593819
1.5443 -0.632911 0 1 -0.560054
1.5443 -0.582278 0 1 -0.52432
1.5443 -0.531646 0 1 -0.486638
1.5443 -0.481013 0 1 -0.447054
1.5443 -0.43038 0 1 -0.405639
1.5443 -0.379747 0 1 -0.362488
1.5443 -0.329114 0 1 -0.317724
1.5443 -0.278481 0 1 -0.271499
1.5443 -0.227848 0 1 -0.223985
1.5443 -0.177215 0 1 -0.175383
1.5443 -0.126582 0 1 -0.125911
1.5443 -0.0759494 0 1 -0.0758037
1.5443 -0.0253165 0 1 -0.025311
1.5443 0.0253165 0 1 0.025311
1.5443 0.0759494 0 1 0.0758037
1.5443 0.126582 0 1 0.125911
1.5443 0.177215 0 1 0.175383
1.5443 0.227848 0 1 0.223985
1.5443 0.278481 0 1 0.271499
1.5443 0.329114 0 1 0.317724
1.5443 0.379747 0 1 0.362488
1.5443 0.43038 0 1 0.405639
1.5443 0.481013 0 1 0.447054
1.5443 0.531646 0 1 0.486638
1.5443 0.582278 0 1 0.52432
1.5443 0.632911 0 1 0.560054
1.5443 0.683544 0 1 0.593819
1.5443 0.734177 0 1 0.625614
1.5443 0.78481 0 1 0.655459
1.5443 0.835443 0 1 0.683388
1.5443 0.886076 0 1 0.70945
1.5443 0.936709 0 1 0.733706
1.5443 0.987342 0 1 0.756227
1.5443 1.03797 0 1 0.777087
1.5443 1.08861 0 1 0.796369
1.5443 1.13924 0 1 0.814158
1.5443 1.18987 0 1 0.83054
1.5443 1.24051 0 1 0.8456
1.5443 1.29114 0 1 0.859425
1.5443 1.34177 0 1 0.872097
1.5443 1.39241 0 1 0.883699
1.5443 1.44304 0 1 0.894308
1.5443 1.49367 0 1 0.903998
1.5443 1.5443 0 1 0.912841
1.5443 1.59494 0 1 0.920903
1.5443 1.64557 0 1 0.928247
1.5443 1.6962 0 1 0.934933
1.5443 1.74684 0 1 0.941014
1.5443 1.79747 0 1 0.946543
1.5443 1.8481 0 1 0.951567
1.5443 1.89873 0 1 0.956129
1.5443 1.94937 0 1 0.96027
1.5443 2 0 1 0.964028
1.59494 -2 0 1 -0.964028
1.59494 -1.94937 0 1 -0.96027
1.59494 -1.89873 0 1 -0.956129
1.59494 -1.8481 0 1 -0.951567
1.59494 -1.79747 0 1 -0.946543
1.59494 -1.74684 0 1 -0.941014
1.59494 -1.6962 0 1 -0.934933
1.59494 -1.64557 0 1 -0.928247
1.59494 -1.59494 0 1 -0.920903
1.59494 -1.5443 0 1 -0.912841
1.59494 -1.49367 0 1 -0.903998
1.59494 -1.44304 0 1 -0.894308
1.59494 -1.39241 0 1 -0.883699
1.59494 -1.34177 0 1 -0.872097
1.59494 -1.29114 0 1 -0.859425
1.59494 -1.24051 0 1 -0.8456
1.59494 -1.18987 0 1 -0.83054
1.59494 -1.13924 0 1 -0.814158
1.59494 -1.08861 0 1 -0.796369
1.59494 -1.03797 0 1 -0.777087
1.59494 -0.987342 0 1 -0.756227
1.59494 -0.936709 0 1 -0.733706
1.59494 -0.886076 0 1 -0.70945
1.59494 -0.835443 0 1 -0.683388
1.59494 -0.78481 0 1 -0.655459
1.59494 -0.734177 0 1 -0.625614
1.59494 -0.683544 0 1 -0.593819
1.59494 -0.632911 0 1 -0.560054
1.59494 -0.582278 0 1 -0.52432
1.59494 -0.531646 0 1 -0.486638
1.59494 -0.481013 0 1 -0.447054
1.59494 -0.43038 0 1 -0.405639
1.59494 -0.379747 0 1 -0.362488
1.59494 -0.329114 0 1 -0.317724
1.59494 -0.278481 0 1 -0.271499
1.59494 -0.227848 0 1 -0.223985
1.59494 -0.177215 0 1 -0.175383
1.59494 -0.126582 0 1 -0.125911
1.59494 -0.0759494 0 1 -0.0758037
1.59494 -0.0253165 0 1 -0.025311
1.59494 0.0253165 0 1 0.025311
1.59494 0.0759494 0 1 0.0758037
1.59494 0.126582 0 1 0.125911
1.59494 0.177215 0 1 0.175383
1.59494 0.227848 0 1 0.223985
1.59494 0.278481 0 1 0.271499
1.59494 0.329114 0 1 0.317724
1.59494 0.379747 0 1 0.362488
1.59494 0.43038 0 1 0.405639
1.59494 0.481013 0 1 0.447054
1.59494 0.531646 0 1 0.486638
1.59494 0.582278 0 1 0.52432
1.59494 0.632911 0 1 0.560054
1.59494 0.683544 0 1 0.593819
1.59494 0.734177 0 1 0.625614
1.59494 0.78481 0 1 0.655459
1.59494 0.835443 0 1 0.683388
1.59494 0.886076 0 1 0.70945
1.59494 0.936709 0 1 0.733706
1.59494 0.987342 0 1 0.756227
1.59494 1.03797 0 1 0.777087
1.59494 1.08861 0 1 0.796369
1.59494 1.13924 0 1 0.814158
1.59494 1.18987 0 1 0.83054
1.59494 1.24051 0 1 0.8456
1.59494 1.29114 0 1 0.859425
1.59494 1.34177 0 1 0.872097
1.59494 1.39241 0 1 0.883699
1.59494 1.44304 0 1 0.894308
1.59494 1.49367 0 1 0.903998
1.59494 1.5443 0 1 0.912841
1.59494 1.59494 0 1 0.920903
1.59494 1.64557 0 1 0.928247
1.59494 1.6962 0 1 0.934933
1.59494 1.74684 0 1 0.941014
1.59494 1.79747 0 1 0.946543
1.59494 1.8481 0 1 0.951567
1.59494 1.89873 0 1 0.956129
1.59494 1.94937 0 1 0.96027
1.59494 2 0 1 0.964028
1.64557 -2 0 1 -0.964028
1.64557 -1.94937 0 1 -0.96027
1.64557 -1.89873 0 1 -0.956129
1.64557 -1.8481 0 1 -0.951567
1.64557 -1.79747 0 1 -0.946543
1.64557 -1.74684 0 1 -0.941014
1.64557 -1.6962 0 1 -0.934933
1.64557 -1.64557 0 1 -0.928247
1.64557 -1.59494 0 1 -0.920903
1.64557 -1.5443 0 1 -0.912841
1.64557 -1.49367 0 1 -0.903998
1.64557 -1.44304 0 1 -0.894308
1.64557 -1.39241 0 1 -0.883699
1.64557 -1.34177 0 1 -0.872097
1.64557 -1.29114 0 1 -0.859425
1.64557 -1.24051 0 1 -0.8456
1.64557 -1.18987 0 1 -0.83054
1.64557 -1.13924 0 1 -0.814158
1.64557 -1.08861 0 1 -0.796369
1.64557 -1.03797 0 1 -0.777087
1.64557 -0.987342 0 1 -0.756227
1.64557 -0.936709 0 1 -0.733706
1.64557 -0.886076 0 1 -0.70945
1.64557 -0.835443 0 1 -0.683388
1.64557 -0.78481 0 1 -0.655459
1.64557 -0.734177 0 1 -0.625614
1.64557 -0.683544 0 1 -0.593819
1.64557 -0.632911 0 1 -0.560054
1.64557 -0.582278 0 1 -0.52432
1.64557 -0.531646 0 1 -0.486638
1.64557 -0.481013 0 1 -0.447054
1.64557 -0.43038 0 1 -0.405639
1.64557 -0.379747 0 1 -0.362488
1.64557 -0.329114 0 1 -0.317724
1.64557 -0.278481 0 1 -0.271499
1.64557 -0.227848 0 1 -0.223985
1.64557 -0.177215 0 1 -0.175383
1.64557 -0.126582 0 1 -0.125911
1.64557 -0.0759494 0 1 -0.0758037
1.64557 -0.0253165 0 1 -0.025311
1.64557 0.0253165 0 1 0.025311
1.64557 0.0759494 0 1 0.0758037
1.64557 0.126582 0 1 0.125911
1.64557 0.177215 0 1 0.175383
1.64557 0.227848 0 1 0.223985
1.64557 0.278481 0 1 0.271499
1.64557 0.329114 0 1 0.317724
1.64557 0.379747 0 1 0.362488
1.64557 0.43038 0 1 0.405639
1.64557 0.481013 0 1 0.447054
1.64557 0.531646 0 1 0.486638
1.64557 0.582278 0 1 0.52432
1.64557 0.632911 0 1 0.560054
1.64557 0.683544 0 1 0.593819
1.64557 0.734177 0 1 0.625614
1.64557 0.78481 0 1 0.655459
1.64557 0.835443 0 1 0.683388
1.64557 0.886076 0 1 0.70945
1.64557 0.936709 0 1 0.733706
1.64557 0.987342 0 1 0.756227
1.64557 1.03797 0 1 0.777087
1.64557 1.08861 0 1 0.796369
1.64557 1.13924 0 1 0.814158
1.64557 1.18987 0 1 0.83054
1.64557 1.24051 0 1 0.8456
1.64557 1.29114 0 1 0.859425
1.64557 1.34177 0 1 0.872097
1.64557 1.39241 0 1 0.883699
1.64557 1.44304 0 1 0.894308
1.64557 1.49367 0 1 0.903998
1.64557 1.5443 0 1 0.912841
1.64557 1.59494 0 1 0.920903
1.64557 1.64557 0 1 0.928247
1.64557 1.6962 0 1 0.934933
1.64557 1.74684 0 1 0.941014
1.64557 1.79747 0 1 0.946543
1.64557 1.8481 0 1 0.951567
1.64557 1.89873 0 1 0.956129
1.64557 1.94937 0 1 0.96027
1.64557 2 0 1 0.964028
1.6962 -2 0 1 -0.964028
1.6962 -1.94937 0 1 -0.96027
1.6962 -1.89873 0 1 -0.956129
1.6962 -1.8481 0 1 -0.951567
1.6962 -1.79747 0 1 -0.946543
1.6962 -1.74684 0 1 -0.941014
1.6962 -1.6962 0 1 -0.934933
1.6962 -1.64557 0 1 -0.928247
1.6962 -1.59494 0 1 -0.920903
1.6962 -1.5443 0 1 -0.912841
1.6962 -1.49367 0 1 -0.903998
1.6962 -1.44304 0 1 -0.894308
1.6962 -1.39241 0 1 -0.883699
1.6962 -1.34177 0 1 -0.872097
1.6962 -1.29114 0 1 -0.859425
1.6962 -1.24051 0 1 -0.8456
1.6962 -1.18987 0 1 -0.83054
1.6962 -1.13924 0 1 -0.814158
1.6962 -1.08861 0 1 -0.796369
1.6962 -1.03797 0 1 -0.777087
1.6962 -0.987342 0 1 -0.756227
1.6962 -0.936709 0 1 -0.733706
1.6962 -0.886076 0 1 -0.70945
1.6962 -0.835443 0 1 -0.683388
1.6962 -0.78481 0 1 -0.655459
1.6962 -0.734177 0 1 -0.625614
1.6962 -0.683544 0 1 -0.593819
1.6962 -0.632911 0 1 -0.560054
1.6962 -0.582278 0 1 -0.52432
1.6962 -0.531646 0 1 -0.486638
1.6962 -0.481013 0 1 -0.447054
1.6962 -0.43038 0 1 -0.405639
1.6962 -0.379747 0 1 -0.362488
1.6962 -0.329114 0 1 -0.317724
1.6962 -0.278481 0 1 -0.271499
1.6962 -0.227848 0 1 -0.223985
1.6962 -0.177215 0 1 -0.175383
1.6962 -0.126582 0 1 -0.125911
1.6962 -0.0759494 0 1 -0.0758037
1.6962 -0.0253165 0 1 -0.025311
1.6962 0.0253165 0 1 0.025311
1.6962 0.0759494 0 1 0.0758037
1.6962 0.126582 0 1 0.125911
1.6962 0.177215 0 1 0.175383
1.6962 0.227848 0 1 0.223985
1.6962 0.278481 0 1 0.271499
1.6962 0.329114 0 1 0.317724
1.6962 0.379747 0 1 0.362488
1.6962 0.43038 0 1 0.405639
1.6962 0.481013 0 1 0.447054
1.6962 0.531646 0 1 0.486638
1.6962 0.582278 0 1 0.52432
1.6962 0.632911 0 1 0.560054
1.6962 0.683544 0 1 0.593819
1.6962 0.734177 0 1 0.625614
1.6962 0.78481 0 1 0.655459
1.6962 0.835443 0 1 0.683388
1.6962 0.886076 0 1 0.70945
1.6962 0.936709 0 1 0.733706
1.6962 0.987342 0 1 0.756227
1.6962 1.03797 0 1 0.777087
1.6962 1.08861 0 1 0.796369
1.6962 1.13924 0 1 0.814158
1.6962 1.18987 0 1 0.83054
1.6962 1.24051 0 1 0.8456
1.6962 1.29114 0 1 0.859425
1.6962 1.34177 0 1 0.872097
1.6962 1.39241 0 1 0.883699
1.6962 1.44304 0 1 0.894308
1.6962 1.49367 0 1 0.903998
1.6962 1.5443 0 1 0.912841
1.6962 1.59494 0 1 0.920903
1.6962 1.64557 0 1 0.928247
1.6962 1.6962 0 1 0.934933
1.6962 1.74684 0 1 0.941014
1.6962 1.79747 0 1 0.946543
1.6962 1.8481 0 1 0.951567
1.6962 1.89873 0 1 0.956129
1.6962 1.94937 0 1 0.96027
1.6962 2 0 1 0.964028
1.74684 -2 0 1 -0.964028
1.74684 -1.94937 0 1 -0.96027
1.74684 -1.89873 0 1 -0.956129
1.74684 -1.8481 0 1 -0.951567
1.74684 -1.79747 0 1 -0.946543
1.74684 -1.74684 0 1 -0.941014
1.74684 -1.6962 0 1 -0.934933
1.74684 -1.64557 0 1 -0.928247
1.74684 -1.59494 0 1 -0.920903
1.74684 -1.5443 0 1 -0.912841
1.74684 -1.49367 0 1 -0.903998
1.74684 -1.44304 0 1 -0.894308
1.74684 -1.39241 0 1 -0.883699
1.74684 -1.34177 0 1 -0.872097
1.74684 -1.29114 0 1 -0.859425
1.74684 -1.24051 0 1 -0.8456
1.74684 -1.18987 0 1 -0.83054
1.74684 -1.13924 0 1 -0.814158
1.74684 -1.08861 0 1 -0.796369
1.74684 -1.03797 0 1 -0.777087
1.74684 -0.987342 0 1 -0.756227
1.74684 -0.936709 0 1 -0.733706
1.74684 -0.886076 0 1 -0.70945
1.74684 -0.835443 0 1 -0.683388
1.74684 -0.78481 0 1 -0.655459
1.74684 -0.734177 0 1 -0.625614
1.74684 -0.683544 0 1 -0.593819
1.74684 -0.632911 0 1 -0.560054
1.74684 -0.582278 0 1 -0.52432
1.74684 -0.531646 0 1 -0.486638
1.74684 -0.481013 0 1 -0.447054
1.74684 -0.43038 0 1 -0.405639
1.74684 -0.379747 0 1 -0.362488
1.74684 -0.329114 0 1 -0.317724
1.74684 -0.278481 0 1 -0.271499
1.74684 -0.227848 0 1 -0.223985
1.74684 -0.177215 0 1 -0.175383
1.74684 -0.126582 0 1 -0.125911
1.74684 -0.0759494 0 1 -0.0758037
1.74684 -0.0253165 0 1 -0.025311
1.74684 0.0253165 0 1 0.025311
1.74684 0.0759494 0 1 0.0758037
1.74684 0.126582 0 1 0.125911
1.74684 0.177215 0 1 0.175383
1.74684 0.227848 0 1 0.223985
1.74684 0.278481 0 1 0.271499
1.74684 0.329114 0 1 0.317724
1.74684 0.379747 0 1 0.362488
1.74684 0.43038 0 1 0.405639
1.74684 0.481013 0 1 0.447054
1.74684 0.531646 0 1 0.486638
1.74684 0.582278 0 1 0.52432
1.74684 0.632911 0 1 0.560054
1.74684 0.683544 0 1 0.593819
1.74684 0.734177 0 1 0.625614
1.74684 0.78481 0 1 0.655459
1.74684 0.835443 0 1 0.683388
1.74684 0.886076 0 1 0.70945
1.74684 0.936709 0 1 0.733706
1.74684 0.987342 0 1 0.756227
1.74684 1.03797 0 1 0.777087
1.74684 1.08861 0 1 0.796369
1.74684 1.13924 0 1 0.814158
1.74684 1.18987 0 1 0.83054
1.74684 1.24051 0 1 0.8456
1.74684 1.29114 0 1 0.859425
1.74684 1.34177 0 1 0.872097
1.74684 1.39241 0 1 0.883699
1.74684 1.44304 0 1 0.894308
1.74684 1.49367 0 1 0.903998
1.74684 1.5443 0 1 0.912841
1.74684 1.59494 0 1 0.920903
1.74684 1.64557 0 1 0.928247
1.74684 1.6962 0 1 0.934933
1.74684 1.74684 0 1 0.941014
1.74684 1.79747 0 1 0.946543
1.74684 1.8481 0 1 0.951567
1.74684 1.89873 0 1 0.956129
1.74684 1.94937 0 1 0.96027
1.74684 2 0 1 0.964028
1.79747 -2 0 1 -0.964028
1.79747 -1.94937 0 1 -0.96027
1.79747 -1.89873 0 1 -0.956129
1.79747 -1.8481 0 1 -0.951567
1.79747 -1.79747 0 1 -0.946543
1.79747 -1.74684 0 1 -0.941014
1.79747 -1.6962 0 1 -0.934933
1.79747 -1.64557 0 1 -0.928247
1.79747 -1.59494 0 1 -0.920903
1.79747 -1.5443 0 1 -0.912841
1.79747 -1.49367 0 1 -0.903998
1.79747 -1.44304 0 1 -0.894308
1.79747 -1.39241 0 1 -0.883699
1.79747 -1.34177 0 1 -0.872097
1.79747 -1.29114 0 1 -0.859425
1.79747 -1.24051 0 1 -0.8456
1.79747 -1.18987 0 1 -0.83054
1.79747 -1.13924 0 1 -0.814158
1.79747 -1.08861 0 1 -0.796369
1.79747 -1.03797 0 1 -0.777087
1.79747 -0.987342 0 1 -0.756227
1.79747 -0.936709 0 1 -0.733706
1.79747 -0.886076 0 1 -0.70945
1.79747 -0.835443 0 1 -0.683388
1.79747 -0.78481 0 1 -0.655459
1.79747 -0.734177 0 1 -0.625614
1.79747 -0.683544 0 1 -0.593819
1.79747 -0.632911 0 1 -0.560054
1.79747 -0.582278 0 1 -0.52432
1.79747 -0.531646 0 1 -0.486638
1.79747 -0.481013 0 1 -0.447054
1.79747 -0.43038 0 1 -0.405639
1.79747 -0.379747 0 1 -0.362488
1.79747 -0.329114 0 1 -0.317724
1.79747 -0.278481 0 1 -0.271499
1.79747 -0.227848 0 1 -0.223985
1.79747 -0.177215 0 1 -0.175383
1.79747 -0.126582 0 1 -0.125911
1.79747 -0.0759494 0 1 -0.0758037
1.79747 -0.0253165 0 1 -0.025311
1.79747 0.0253165 0 1 0.025311
1.79747 0.0759494 0 1 0.0758037
1.79747 0.126582 0 1 0.125911
1.79747 0.177215 0 1 0.175383
1.79747 0.227848 0 1 0.223985
1.79747 0.278481 0 1 0.271499
1.79747 0.329114 0 1 0.317724
1.79747 0.379747 0 1 0.362488
1.79747 0.43038 0 1 0.405639
1.79747 0.481013 0 1 0.447054
1.79747 0.531646 0 1 0.486638
1.79747 0.582278 0 1 0.52432
1.79747 0.632911 0 1 0.560054
1.79747 0.683544 0 1 0.593819
1.79747 0.734177 0 1 0.625614
1.79747 0.78481 0 1 0.655459
1.79747 0.835443 0 1 0.683388
1.79747 0.886076 0 1 0.70945
1.79747 0.936709 0 1 0.733706
1.79747 0.987342 0 1 0.756227
1.79747 1.03797 0 1 0.777087
1.79747 1.08861 0 1 0.796369
1.79747 1.13924 0 1 0.814158
1.79747 1.18987 0 1 0.83054
1.79747 1.24051 0 1 0.8456
1.79747 1.29114 0 1 0.859425
1.79747 1.34177 0 1 0.872097
1.79747 1.39241 0 1 0.883699
1.79747 1.44304 0 1 0.894308
1.79747 1.49367 0 1 0.903998
1.79747 1.5443 0 1 0.912841
1.79747 1.59494 0 1 0.920903
1.79747 1.64557 0 1 0.928247
1.79747 1.6962 0 1 0.934933
1.79747 1.74684 0 1 0.941014
1.79747 1.79747 0 1 0.946543
1.79747 1.8481 0 1 0.951567
1.79747 1.89873 0 1 0.956129
1.79747 1.94937 0 1 0.96027
1.79747 2 0 1 0.964028
1.8481 -2 0 1 -0.964028
1.8481 -1.94937 0 1 -0.96027
1.8481 -1.89873 0 1 -0.956129
1.8481 -1.8481 0 1 -0.951567
1.8481 -1.79747 0 1 -0.946543
1.8481 -1.74684 0 1 -0.941014
1.8481 -1.6962 0 1 -0.934933
1.8481 -1.64557 0 1 -0.928247
1.8481 -1.59494 0 1 -0.920903
1.8481 -1.5443 0 1 -0.912841
1.8481 -1.49367 0 1 -0.903998
1.8481 -1.44304 0 1 -0.894308
1.8481 -1.39241 0 1 -0.883699
1.8481 -1.34177 0 1 -0.872097
1.8481 -1.29114 0 1 -0.859425
1.8481 -1.24051 0 1 -0.8456
1.8481 -1.18987 0 1 -0.83054
1.8481 -1.13924 0 1 -0.814158
1.8481 -1.08861 0 1 -0.796369
1.8481 -1.03797 0 1 -0.777087
1.8481 -0.987342 0 1 -0.756227
1.8481 -0.936709 0 1 -0.733706
1.8481 -0.886076 0 1 -0.70945
1.8481 -0.835443 0 1 -0.683388
1.8481 -0.78481 0 1 -0.655459
1.8481 -0.734177 0 1 -0.625614
1.8481 -0.683544 0 1 -0.593819
1.8481 -0.632911 0 1 -0.560054
1.8481 -0.582278 0 1 -0.52432
1.8481 -0.531646 0 1 -0.486638
1.8481 -0.481013 0 1 -0.447054
1.8481 -0.43038 0 1 -0.405639
1.8481 -0.379747 0 1 -0.362488
1.8481 -0.329114 0 1 -0.317724
1.8481 -0.278481 0 1 -0.271499
1.8481 -0.227848 0 1 -0.223985
1.8481 -0.177215 0 1 -0.175383
1.8481 -0.126582 0 1 -0.125911
1.8481 -0.0759494 0 1 -0.0758037
1.8481 -0.0253165 0 1 -0.025311
1.8481 0.0253165 0 1 0.025311
1.8481 0.0759494 0 1 0.0758037
1.8481 0.126582 0 1 0.125911
1.8481 0.177215 0 1 0.175383
1.8481 0.227848 0 1 0.223985
1.8481 0.278481 0 1 0.271499
1.8481 0.329114 0 1 0.317724
1.8481 0.379747 0 1 0.362488
1.8481 0.43038 0 1 0.405639
1.8481 0.481013 0 1 0.447054
1.8481 0.531646 0 1 0.486638
1.8481 0.582278 0 1 0.52432
1.8481 0.632911 0 1 0.560054
1.8481 0.683544 0 1 0.593819
1.8481 0.734177 0 1 0.625614
1.8481 0.78481 0 1 0.655459
1.8481 0.835443 0 1 0.683388
1.8481 0.886076 0 1 0.70945
1.8481 0.936709 0 1 0.733706
1.8481 0.987342 0 1 0.756227
1.8481 1.03797 0 1 0.777087
1.8481 1.08861 0 1 0.796369
1.8481 1.13924 0 1 0.814158
1.8481 1.18987 0 1 0.83054
